number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_kbest_k,params_lr,params_num_blocks,params_residual_init,params_use_select_kbest,params_use_standard_scaler,params_use_variance_threshold,params_var_threshold,state
0,0.863933265209198,2025-08-08 16:58:13.750831,2025-08-08 16:58:26.144945,0 days 00:00:12.394114,256,0.21959818254342153,192,,0.0006251373574521745,8,1.2022300234864176,False,True,True,0.19398197043239887,COMPLETE
1,0.8177450895309448,2025-08-08 16:58:26.145586,2025-08-08 16:58:33.498232,0 days 00:00:07.352646,32,0.12958350559263473,192,1302.0,7.476312062252303e-05,5,0.9121399684340719,True,True,True,0.10284688768272232,COMPLETE
2,-2394.616943359375,2025-08-08 16:58:33.498877,2025-08-08 16:58:43.435589,0 days 00:00:09.936712,64,0.24251920443493832,512,,8.200518402245828e-05,8,0.9903538202225404,False,False,False,,COMPLETE
3,0.8627604842185974,2025-08-08 16:58:43.436215,2025-08-08 16:58:50.043396,0 days 00:00:06.607181,32,0.29087538832936755,320,5620.0,0.002115429079726122,3,0.176985004103839,True,True,True,0.06506606615265287,COMPLETE
4,0.8776490092277527,2025-08-08 16:58:50.043987,2025-08-08 16:58:56.617769,0 days 00:00:06.573782,32,0.2406590942262119,320,17264.0,1.6736010167825783e-05,2,1.6309228569096683,True,True,False,,COMPLETE
5,0.9794812202453613,2025-08-08 16:58:56.618385,2025-08-08 16:59:03.602958,0 days 00:00:06.984573,256,0.01906750508580709,320,10456.0,8.569331925053983e-05,4,0.9444298503238986,True,True,False,,COMPLETE
6,-12.37003231048584,2025-08-08 16:59:03.603665,2025-08-08 16:59:04.303585,0 days 00:00:00.699920,256,0.032367428097991334,256,18596.0,1.2424747083660186e-05,2,0.4985844582977499,True,True,False,,PRUNED
7,-4558.2734375,2025-08-08 16:59:04.304188,2025-08-08 16:59:05.649388,0 days 00:00:01.345200,64,0.2614381770563153,448,10216.0,0.0025764174425233167,6,1.7921825998469865,True,False,True,0.04558703250838834,PRUNED
8,-3.621962070465088,2025-08-08 16:59:05.650274,2025-08-08 16:59:06.440191,0 days 00:00:00.789917,32,0.03595961020010484,256,12193.0,0.00010300196600986775,3,0.727259204758588,True,True,True,0.05035645916507284,PRUNED
9,-193.98861694335938,2025-08-08 16:59:06.440848,2025-08-08 16:59:06.495893,0 days 00:00:00.055045,256,0.08359393927098342,320,,0.0053063715752208465,2,0.4841105430230008,False,False,False,,PRUNED
10,-686.4647216796875,2025-08-08 16:59:06.496603,2025-08-08 16:59:06.556009,0 days 00:00:00.059406,128,0.0022641957948878744,64,,0.00035574326616254486,5,1.38049414713829,False,False,False,,PRUNED
11,0.04415619373321533,2025-08-08 16:59:06.556625,2025-08-08 16:59:10.126120,0 days 00:00:03.569495,128,0.18472111241212996,384,18333.0,1.1149797246063853e-05,4,1.986595481115476,True,True,False,,PRUNED
12,0.6608831882476807,2025-08-08 16:59:10.126723,2025-08-08 16:59:15.170355,0 days 00:00:05.043632,32,0.1556119237094754,384,14192.0,2.7537717833064028e-05,4,1.5438480247601423,True,True,False,,PRUNED
13,0.913424015045166,2025-08-08 16:59:15.171090,2025-08-08 16:59:24.775104,0 days 00:00:09.604014,256,0.10101471616771371,128,6458.0,3.698205667805107e-05,6,1.595989738158034,True,True,False,,COMPLETE
14,-10.148601531982422,2025-08-08 16:59:24.775844,2025-08-08 16:59:25.267049,0 days 00:00:00.491205,256,0.08681561469116984,64,6560.0,5.303855597658291e-05,6,1.2327634086718677,True,True,False,,PRUNED
15,-17.533260345458984,2025-08-08 16:59:25.267586,2025-08-08 16:59:25.757086,0 days 00:00:00.489500,256,0.0907960962081403,128,6561.0,0.00020482087577985243,7,0.00948023930617814,True,True,False,,PRUNED
16,-12.424497604370117,2025-08-08 16:59:25.757924,2025-08-08 16:59:26.223599,0 days 00:00:00.465675,256,0.04648771435956318,192,3488.0,2.9423806435016566e-05,6,0.6322546776347244,True,True,False,,PRUNED
